+,n7,f6,k8,h9,p5,tesztalany4
-,n3,f5,k9,h1,p3,tesztalany4
+,n7,f5,k6,h5,p9,tesztalany4
+,n5,f9,k8,h1,p4,tesztalany4
+,n2,f9,k6,h9,p5,tesztalany4
+,n7,f5,k1,h8,p7,tesztalany4
+,n5,f5,k5,h1,p1,tesztalany4
+,n2,f2,k4,h7,p3,tesztalany4
+,n8,f0,k5,h6,p0,tesztalany4
-,n2,f6,k3,h6,p2,tesztalany4
+,n6,f0,k1,h9,p4,tesztalany4
+,n9,f2,k0,h0,p2,tesztalany4
-,n1,f3,k3,h0,p8,tesztalany4
+,n3,f8,k2,h6,p8,tesztalany4
+,n5,f3,k4,h2,p0,tesztalany4
+,n6,f6,k1,h9,p9,tesztalany4
+,n9,f5,k1,h2,p1,tesztalany4
+,n7,f8,k8,h8,p4,tesztalany4
+,n4,f6,k8,h6,p6,tesztalany4
+,n1,f9,k6,h6,p5,tesztalany4
-,n2,f5,k0,h8,p3,tesztalany4
+,n8,f5,k4,h3,p9,tesztalany4
+,n9,f8,k5,h9,p2,tesztalany4
-,n0,f2,k3,h5,p7,tesztalany4
+,n5,f7,k2,h8,p1,tesztalany4
-,n6,f7,k0,h8,p9,tesztalany4
+,n9,f7,k4,h1,p5,tesztalany4
+,n5,f2,k7,h2,p5,tesztalany4
+,n4,f8,k4,h9,p3,tesztalany4
+,n5,f2,k6,h4,p3,tesztalany4
+,n8,f0,k6,h4,p5,tesztalany4
+,n0,f9,k5,h2,p8,tesztalany4
+,n5,f0,k8,h9,p4,tesztalany4
-,n7,f4,k3,h1,p1,tesztalany4
-,n3,f2,k0,h9,p6,tesztalany4
+,n6,f7,k8,h4,p9,tesztalany4
+,n4,f6,k6,h5,p4,tesztalany4
+,n7,f4,k5,h6,p3,tesztalany4
-,n4,f9,k0,h0,p3,tesztalany4
+,n3,f5,k5,h1,p5,tesztalany4
-,n5,f5,k0,h1,p3,tesztalany4
+,n4,f4,k4,h9,p5,tesztalany4
-,n5,f0,k3,h3,p0,tesztalany4
+,n8,f0,k2,h5,p2,tesztalany4
+,n2,f8,k0,h9,p4,tesztalany4
+,n2,f6,k5,h4,p0,tesztalany4
-,n4,f5,k0,h1,p3,tesztalany4
+,n7,f8,k2,h4,p7,tesztalany4
+,n7,f5,k2,h2,p7,tesztalany4
+,n4,f2,k8,h0,p4,tesztalany4
